ACC	GENDER
SRR15277725	female
SRR15277726	female
SRR15277727	female
SRR15277728	female
SRR15277729	female
SRR15277730	female
SRR15271654	female
SRR15272739	female
SRR15272740	female
SRR15272747	female
SRR15272749	female
SRR15272752	male
SRR15272753	female
SRR15272754	male
SRR15272755	male
SRR15272756	female
SRR15272757	female
SRR15272758	female
SRR15272759	female
SRR15272760	male
SRR15272761	male
SRR15272762	female
SRR15272763	female
SRR15272765	male
SRR15272767	male
SRR15272768	male
SRR15272769	male
SRR15272770	female
SRR15272771	female
SRR15272772	male
SRR15272773	male
SRR15272774	female
SRR15272775	male
SRR15272776	male
SRR15272777	female
SRR15272778	female
SRR15272779	male
SRR15272780	female
SRR15272782	female
SRR15272783	female
SRR15272784	female
SRR15272785	male
SRR15272786	male
SRR15272787	male
SRR15272788	female
SRR15272789	female
SRR15272790	male
SRR15272791	female
SRR15272792	female
SRR15272794	female
SRR15272796	female
SRR15272802	male
SRR15272821	male
SRR15272838	female
SRR15272843	male
SRR15272868	male
SRR15272869	male
SRR15272871	male
SRR15272882	male
SRR15272889	male
SRR15272891	male
SRR15272895	female
SRR15272903	male
SRR15272905	female
SRR15272906	female
SRR15272907	male
SRR15272908	male
SRR15272909	male
SRR15272910	female
SRR15272911	female
SRR15272912	female
SRR15272913	female
SRR15272914	female
SRR15272915	female
SRR15272916	male
SRR15272917	female
SRR15272918	male
SRR15272919	male
SRR15272920	female
SRR15272921	male
SRR15272922	male
SRR15272924	male
SRR15272925	female
SRR15272926	male
SRR15272927	female
SRR15272928	female
SRR15272929	female
SRR15272931	female
SRR15272933	male
SRR15272934	female
SRR15272935	male
SRR15272937	female
SRR15272944	male
SRR15272946	female
SRR15272955	male
SRR15272958	female
SRR15272961	female
SRR15272962	male
SRR15272963	male
SRR15272964	male
SRR15272965	male
SRR15272972	female
SRR15272991	male
SRR15272997	male
SRR15272999	female
SRR15273003	male
SRR15273005	male
SRR15273008	female
SRR15273011	male
SRR15273020	male
SRR15273024	male
SRR15273035	female
SRR15272557	male
SRR15272561	female
SRR15272568	male
SRR15272572	female
SRR15272573	female
SRR15272575	female
SRR15272580	female
SRR15272581	female
SRR15272583	female
SRR15272584	female
SRR15272585	female
SRR15272587	male
SRR15272596	male
SRR15272612	female
SRR15272614	male
SRR15272615	male
SRR15272616	male
SRR15272653	female
SRR15272659	female
SRR15272662	male
SRR15272663	female
SRR15272664	female
SRR15272672	male
SRR15272675	female
SRR15272676	male
SRR15272678	male
SRR15272680	female
SRR15272681	female
SRR15272683	male
SRR15272684	female
SRR15272691	male
SRR15272695	male
SRR15272701	male
SRR15272704	male
SRR15272707	male
SRR15272709	female
SRR15272711	female
SRR15272714	female
SRR15272716	male
SRR15272717	male
SRR15272722	male
SRR15272726	female
SRR15272731	male
SRR15272732	female
SRR15272733	female
SRR15272248	female
SRR15272250	female
SRR15272251	female
SRR15272252	female
SRR15272253	male
SRR15272254	male
SRR15272255	male
SRR15272256	female
SRR15272257	female
SRR15272258	male
SRR15272259	male
SRR15272260	female
SRR15272261	male
SRR15272262	male
SRR15272263	female
SRR15272264	female
SRR15272265	male
SRR15272266	female
SRR15272267	female
SRR15272268	male
SRR15272269	female
SRR15272270	male
SRR15272271	female
SRR15272272	male
SRR15272273	female
SRR15272274	male
SRR15272275	male
SRR15272276	male
SRR15272277	male
SRR15272278	female
SRR15272279	female
SRR15272280	female
SRR15272281	female
SRR15272282	male
SRR15272283	female
SRR15272284	male
SRR15272285	male
SRR15272286	male
SRR15272287	male
SRR15272288	female
SRR15272289	male
SRR15272290	female
SRR15272291	female
SRR15272292	male
SRR15272293	female
