ACC	GISAID
SRR14779345	EPI_ISL_2246219
SRR14779335	EPI_ISL_2176279
SRR14779347	EPI_ISL_2176276
SRR14779348	EPI_ISL_2176273
SRR14779349	EPI_ISL_2176270
SRR14779350	EPI_ISL_2176266
SRR14779351	EPI_ISL_2176263
SRR14779352	EPI_ISL_2176261
SRR14779353	EPI_ISL_2176257
SRR14779354	EPI_ISL_2134802
SRR14779355	EPI_ISL_2176253
SRR14779356	EPI_ISL_2176250
SRR14779357	EPI_ISL_2176248
SRR14779358	EPI_ISL_2176244
SRR14779359	EPI_ISL_2176242
SRR14779360	EPI_ISL_2176240
SRR14779361	EPI_ISL_2176238
SRR14779362	EPI_ISL_2176237
SRR14779363	EPI_ISL_2134819
SRR14779364	EPI_ISL_2134818
SRR14779365	EPI_ISL_2134801
SRR14779366	EPI_ISL_2134817
SRR14779367	EPI_ISL_2134816
SRR14779368	EPI_ISL_2134815
SRR14779369	EPI_ISL_2134814
SRR14779370	EPI_ISL_2134813
SRR14779371	EPI_ISL_2134812
SRR14779372	EPI_ISL_2134811
SRR14779373	EPI_ISL_2134810
SRR14779346	EPI_ISL_2246218
SRR14779375	EPI_ISL_2246216
SRR14779376	EPI_ISL_2246215
SRR14779377	EPI_ISL_2137759
SRR14779378	EPI_ISL_2246214
SRR14779379	EPI_ISL_2246213
SRR14779380	EPI_ISL_2246212
SRR14779381	EPI_ISL_2246211
SRR14779382	EPI_ISL_2259412
SRR14779383	EPI_ISL_2246210
SRR14779384	EPI_ISL_2246209
SRR14779385	EPI_ISL_2246208
SRR14779386	EPI_ISL_2246207
SRR14779387	EPI_ISL_2246205
SRR14779388	EPI_ISL_2134804
SRR14779389	EPI_ISL_2246204
SRR14779390	EPI_ISL_2246203
SRR14779391	EPI_ISL_2246202
SRR14779392	EPI_ISL_2246201
SRR14779393	EPI_ISL_2259411
SRR14779394	EPI_ISL_2246200
SRR14779395	EPI_ISL_2176297
SRR14779396	EPI_ISL_2176294
SRR14779397	EPI_ISL_2176290
SRR14779398	EPI_ISL_2176287
SRR14779399	EPI_ISL_2134803
SRR14779400	EPI_ISL_2176284
SRR14779401	EPI_ISL_2176282
SRR14773779	EPI_ISL_1629784
SRR14773780	EPI_ISL_1629784
SRR14773781	EPI_ISL_1629783
SRR14773782	EPI_ISL_1629783
SRR14773783	EPI_ISL_1629782
SRR14773784	EPI_ISL_1629781
SRR14773785	EPI_ISL_1629780
SRR14773786	EPI_ISL_1629779
SRR14773787	EPI_ISL_1629778
SRR14773788	EPI_ISL_1629777
SRR14773789	EPI_ISL_812461
SRR14773790	EPI_ISL_1629776
SRR14773791	EPI_ISL_1629775
SRR14773792	EPI_ISL_1629774
SRR14773793	EPI_ISL_1629773
SRR14773794	EPI_ISL_1629772
SRR14773795	EPI_ISL_1629771
SRR14773796	EPI_ISL_1629770
SRR14773797	EPI_ISL_1629769
SRR14773798	EPI_ISL_1629768
SRR14773799	EPI_ISL_1629767
SRR14773800	EPI_ISL_812460
SRR14773801	EPI_ISL_1629766
SRR14773802	EPI_ISL_1629765
SRR14773803	EPI_ISL_1629763
SRR14773804	EPI_ISL_1629762
SRR14773805	EPI_ISL_812517
SRR14773806	EPI_ISL_812516
SRR14773807	EPI_ISL_812515
SRR14773808	EPI_ISL_812514
SRR14773809	EPI_ISL_812513
SRR14773810	EPI_ISL_812512
SRR14773811	EPI_ISL_812459
SRR14773812	EPI_ISL_812511
SRR14773813	EPI_ISL_812510
SRR14773814	EPI_ISL_812721
SRR14773815	EPI_ISL_812720
SRR14773816	EPI_ISL_812719
SRR14773817	EPI_ISL_812509
SRR14773818	EPI_ISL_812718
SRR14773819	EPI_ISL_812508
SRR14773820	EPI_ISL_812507
SRR14773821	EPI_ISL_812506
SRR14773822	EPI_ISL_812458
SRR14773823	EPI_ISL_812505
SRR14773824	EPI_ISL_812504
SRR14773825	EPI_ISL_812503
SRR14773826	EPI_ISL_812717
SRR14773827	EPI_ISL_812502
SRR14773828	EPI_ISL_812501
