ACC	AGE
SRR15313465	33
SRR15313466	24
SRR15313467	23
SRR15313468	8
SRR15313469	12
SRR15313470	25
SRR15313471	27
SRR15313472	30
SRR15313473	30
SRR15313474	26
SRR15313475	46
SRR15313476	28
SRR15313477	29
SRR15313478	40
SRR15313479	27
SRR15313480	11
SRR15313481	6
SRR15313482	24
SRR15313483	23
SRR15313484	29
SRR15313485	6
SRR15313486	34
SRR15313487	36
SRR15313488	57
SRR15313489	39
SRR15313490	14
SRR15313491	45
SRR15313492	25
SRR15313493	20
SRR15313494	12
SRR15313495	51
SRR15313496	14
SRR15313497	30
SRR15313498	22
SRR15313499	21
SRR15313500	42
SRR15313501	73
SRR15313502	30
SRR15313503	22
SRR15313504	33
SRR15313505	41
SRR15313506	40
SRR15313507	64
SRR15313508	1
SRR15313509	40
SRR15313510	24
SRR15313511	14
SRR15313512	40
SRR15313513	22
SRR15313514	14
SRR15313515	31
SRR15313516	24
SRR15313517	22
SRR15313518	16
SRR15313519	45
SRR15313520	52
SRR15313521	25
SRR15313522	5
SRR15313523	7
SRR15313524	14
SRR15313525	6
SRR15313526	39
SRR15313527	41
SRR15313528	52
SRR15313529	33
SRR15313530	39
SRR15313531	32
SRR15313532	6
SRR15313533	32
SRR15313534	15
SRR15313535	27
SRR15313536	28
SRR15313537	51
SRR15313538	27
SRR15313539	60
SRR15313540	14
SRR15313541	68
SRR15313542	17
SRR15313543	79
SRR15313544	29
SRR15313545	19
SRR15313546	39
SRR15313547	37
SRR15313548	50
SRR15313549	29
SRR15313550	34
SRR15313551	21
SRR15313552	11
SRR15313142	42
SRR15313143	25
SRR15313144	58
SRR15313145	18
SRR15313147	43
SRR15313148	40
SRR15313149	5
SRR15313150	49
SRR15313151	23
SRR15313152	29
SRR15313153	44
SRR15313154	13
SRR15313155	21
SRR15313156	24
SRR15313157	52
SRR15313158	17
SRR15313160	40
SRR15313161	21
SRR15313162	22
SRR15313163	26
SRR15313164	36
SRR15313165	33
SRR15313166	33
SRR15313167	39
SRR15313168	69
SRR15313169	56
SRR15313170	39
SRR15313172	46
SRR15313173	50
SRR15313174	6
SRR15313175	56
SRR15313176	32
SRR15313177	36
SRR15313178	63
SRR15313179	29
SRR15313180	11
SRR15313182	78
SRR15313183	42
SRR15313184	47
SRR15313185	29
SRR15313186	33
SRR15313187	40
SRR15313188	21
SRR15313189	35
SRR15313190	8
SRR15313191	42
SRR15313193	23
SRR15313194	30
SRR15313195	40
SRR15313196	64
SRR15313197	17
SRR15313198	58
SRR15313199	23
SRR15313200	13
SRR15313201	35
SRR15313202	54
SRR15313203	29
SRR15313204	27
SRR15313205	28
SRR15313206	48
SRR15313207	55
SRR15313208	14
SRR15313209	35
SRR15313210	27
SRR15313211	32
SRR15313212	27
SRR15313213	49
SRR15313214	10
SRR15313215	28
SRR15313216	40
SRR15296648	54
SRR15296671	43
SRR15296675	35
SRR15290393	9
SRR15290438	47
SRR15290449	23
SRR15290450	35
SRR15290451	36
SRR15290453	21
SRR15290454	15
SRR15290456	30
SRR15290457	13
SRR15290458	18
SRR15290459	8
SRR15290460	62
SRR15290461	39
SRR15290462	60
SRR15290466	6
SRR15290467	17
SRR15290468	45
SRR15290470	26
SRR15290471	30
SRR15290473	32
SRR15290474	50
SRR15290475	10
SRR15290476	21
SRR15290477	34
SRR15290478	30
SRR15290479	42
SRR15290480	28
SRR15290481	23
SRR15290482	22
SRR15290503	7
SRR15290508	37
SRR15290511	32
SRR15290512	61
SRR15290520	53
SRR15290523	36
SRR15290568	43
SRR15290569	81
SRR15290570	44
SRR15290592	50
SRR15290606	59
SRR15290643	82
SRR15290087	24
SRR15290111	38
SRR15290112	55
SRR15290113	27
SRR15290148	16
SRR15290158	73
SRR15290179	30
SRR15290181	6
SRR15290182	33
SRR15290183	18
SRR15290188	37
SRR15290209	39
SRR15290210	31
SRR15290212	9
SRR15290236	56
SRR15290243	37
SRR15290246	12
SRR15290320	16
SRR15290322	25
SRR15290329	24
SRR15290331	46
SRR15290334	34
SRR15290335	39
SRR15289776	57
SRR15289779	23
SRR15289798	53
SRR15289801	41
SRR15289802	38
SRR15289804	63
SRR15289805	14
SRR15289806	33
SRR15289807	25
SRR15289808	24
SRR15289809	46
SRR15289825	45
SRR15289829	18
SRR15289840	35
SRR15289852	29
SRR15289856	38
SRR15289857	58
SRR15289904	36
SRR15289908	29
SRR15289911	24
SRR15289913	50
SRR15289919	14
SRR15289922	50
SRR15289931	33
SRR15289938	57
SRR15289956	61
SRR15289961	6
SRR15289964	28
SRR15289965	39
SRR15289967	69
SRR15289968	44
SRR15289969	58
SRR15289970	13
SRR15289971	41
SRR15289972	35
SRR15289974	8
SRR15289975	54
SRR15290027	49
SRR15290028	48
SRR15290029	30
SRR15290033	31
SRR15290034	49
SRR15290039	8
SRR15289463	19
SRR15289469	61
SRR15289479	55
SRR15289486	45
SRR15289494	20
SRR15289506	35
SRR15289510	40
SRR15289513	51
SRR15289514	23
SRR15289528	10
SRR15289529	40
SRR15289534	49
SRR15289536	57
SRR15289541	24
SRR15289543	39
SRR15289576	45
SRR15289577	45
SRR15288534	22
SRR15288535	43
SRR15288551	51
SRR15288553	45
SRR15288554	23
SRR15288555	26
SRR15288562	6
SRR15288563	40
SRR15288582	50
SRR15288584	77
SRR15288585	55
SRR15288586	33
SRR15288587	28
SRR15288588	90
